model-1664226906,1664226929.47,0.64,0.2095,0.59,0.2607
model-1664226906,1664226929.485,0.59,0.2278,0.69,0.2237
model-1664226906,1664226929.502,0.62,0.224,0.69,0.2326
model-1664226906,1664226929.519,0.61,0.2363,0.66,0.2332
model-1664226906,1664226929.535,0.67,0.2206,0.66,0.2415
model-1664226906,1664226929.551,0.59,0.2228,0.69,0.2073
model-1664226906,1664226929.567,0.64,0.2051,0.56,0.2393
model-1664226906,1664226929.583,0.62,0.2354,0.66,0.2266
model-1664226906,1664226929.599,0.59,0.2296,0.59,0.2492
model-1664226906,1664226929.616,0.7,0.2142,0.53,0.2551
model-1664226906,1664226929.633,0.67,0.211,0.59,0.2398
model-1664226906,1664226929.65,0.69,0.2091,0.62,0.25
model-1664226906,1664226929.665,0.56,0.2549,0.56,0.2329
model-1664226906,1664226929.681,0.67,0.221,0.62,0.2195
model-1664226906,1664226929.697,0.66,0.1984,0.59,0.2132
model-1664226906,1664226929.712,0.62,0.2261,0.84,0.1649
model-1664226906,1664226929.728,0.61,0.2299,0.72,0.206
model-1664226906,1664226929.745,0.53,0.2497,0.66,0.2056
model-1664226906,1664226929.762,0.65,0.2293,0.66,0.2278
model-1664226906,1664226929.779,0.68,0.2074,0.53,0.2464
model-1664226906,1664226929.796,0.65,0.228,0.69,0.2033
model-1664226906,1664226929.812,0.59,0.2353,0.78,0.184
model-1664226906,1664226929.828,0.62,0.2322,0.5,0.2399
model-1664226906,1664226929.844,0.63,0.2369,0.69,0.2126
model-1664226906,1664226929.862,0.62,0.2287,0.56,0.2212
model-1664226906,1664226929.879,0.69,0.2146,0.53,0.2463
model-1664226906,1664226929.895,0.69,0.2148,0.62,0.2236
model-1664226906,1664226929.911,0.66,0.2282,0.72,0.2038
model-1664226906,1664226929.927,0.59,0.2397,0.59,0.2386
model-1664226906,1664226929.943,0.62,0.2283,0.66,0.2139
model-1664226906,1664226929.959,0.65,0.2225,0.75,0.1805
model-1664226906,1664226929.976,0.63,0.2291,0.72,0.2004
